Book_Name,author,Url,Average_Rating,Ratings_Count,Categories,Year_Published
Harry Potter and International Relations,Daniel H. Nexon,http://books.google.com/books/content?id=DKcWE3WXoj8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,7,Literary Criticism,2006
The Ivory Tower and Harry Potter,Lana A. Whited,http://books.google.com/books/content?id=iO5pApw2JycC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4.5,13,Literary Criticism,2004
Reading Harry Potter,Giselle Liza Anatol,http://books.google.com/books/content?id=-__ICQemqaEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,5,8,Literary Criticism,2003
Harry Potter,S. Gunelius,http://books.google.com/books/content?id=abYKXvCwEToC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3,8,Business & Economics,2008-06-03
Harry Houdini,Rita T. Mullin,http://books.google.com/books/content?id=dOU2Sn9A8_gC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3,1,Juvenile Nonfiction,2007
The Psychology of Harry Potter,Neil Mulholland,http://books.google.com/books/content?id=BoX-6R21MgQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,10,Psychology,2009-06-22
Harry Potter and the Chamber of Secrets,J.K. Rowling,http://books.google.com/books/content?id=5iTebBW-w7QC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4.5,134,Fiction,2015-12-08
The Alchemist,Paulo Coelho,http://books.google.com/books/content?id=FzVjBgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,29,Fiction,2015-02-24
The Secret of the Alchemist,Colm Holland,http://books.google.com/books/content?id=JxBXywEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,5,1,Literary Criticism,2020-08
The Alchemist: A Graphic Novel,Paulo Coelho,http://books.google.com/books/content?id=QTKD3-mMZFYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,9,Fiction,2010-11-23
The Alchemist - 10th Anniversary Edition,Paulo Coelho,http://books.google.com/books/content?id=FEL8DlqjYEkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4.5,190,Fiction,2009-10-13
The Best of Sherlock Holmes,Arthur Conan Doyle,http://books.google.com/books/content?id=zRqIKEKectUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,5,1,Fiction,1998
The Case-Book of Sherlock Holmes,Arthur Conan Doyle,http://books.google.com/books/content?id=8yg41Q0nQw4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,19,Fiction,2011-12-11
The Adventures of Sherlock Holmes,Arthur Conan Doyle,http://books.google.com/books/content?id=oqkC3PTplRsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4.5,11,Fiction,1992
Sherlock Holmes,Sir Arthur Conan Doyle,http://books.google.com/books/content?id=Wj_CHaBGsBMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,19,Fiction,1986
Sherlock Holmes,Arthur Conan Doyle,http://books.google.com/books/content?id=pkqgBPOH31QC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,4,Fiction,2009
Sherlock Holmes and the Adventure at the Abbey Grange,Sir Arthur Conan Doyle,http://books.google.com/books/content?id=ovFjDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,1,Juvenile Fiction,2018-08-01
Sherlock Holmes and a Scandal in Bohemia,Sir Arthur Conan Doyle,http://books.google.com/books/content?id=nPFjDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,2,Juvenile Fiction,2018-08-01
